# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
199,15800.573508,15800.573508,0.525817,0.042700,0.568517
399,13660.050428,11519.527348,0.529767,0.084999,0.614767
599,12774.281965,11002.745038,0.533916,0.127296,0.661213
799,11652.487429,8287.103822,0.536056,0.169443,0.705499
999,11023.007642,8505.088493,0.538287,0.211515,0.749802
1199,10320.564717,6808.350093,0.544563,0.253568,0.798131
1399,9778.235343,6524.259099,0.546731,0.295508,0.842239
1599,9547.115465,7929.276319,0.549017,0.337620,0.886637
1799,9358.014126,7845.203409,0.551408,0.379602,0.931010
1999,9146.864857,7246.521439,0.553919,0.421671,0.975590
2199,8788.276262,5202.390316,0.561360,0.463809,1.025169
2399,8512.867211,5483.367650,0.563526,0.505651,1.069177
2599,8246.842787,5054.549701,0.565803,0.547488,1.113291
2799,8122.678558,6508.543572,0.568197,0.589358,1.157554
2999,8024.799771,6654.496759,0.570703,0.631333,1.202036
3199,7805.629682,4518.078343,0.578114,0.673252,1.251366
3399,7651.122892,5179.014247,0.580274,0.715118,1.295392
3599,7572.437540,6234.786572,0.582551,0.756886,1.339437
3799,7417.161318,4622.189308,0.584966,0.798869,1.383834
3999,7293.982969,4953.594344,0.587476,0.840745,1.428221
4199,7175.138798,4798.255380,0.594757,0.882737,1.477494
